"kol","lnk","gosp","gosc","frek","nFrek"
7,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,lechia-gdansk,1650229.html","WIS£A KRAKÓW SA","LECHIA GDAÑSK","Brak danych na temat widowni",NA
7,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,pogon-szczecin,1650228.html","SANDECJA NOWY S¥CZ","POGOÑ SZCZECIN","Mecz ogl¹da³o 2240 osób","2240"
7,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,arka-gdynia-ssa,1650226.html","KKS LECH POZNAÑ","ARKA GDYNIA SSA","Brak danych na temat widowni",NA
7,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,zaglebie-lubin,1650227.html","LEGIA WARSZAWA S.A.","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 14941 osób","14941"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/zaglebie-lubin,wisla-plock-s-a,1650234.html","ZAG£ÊBIE LUBIN","WIS£A P£OCK S.A.","Mecz ogl¹da³o 5178 osób","5178"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,wisla-krakow-sa,1650231.html","ARKA GDYNIA SSA","WIS£A KRAKÓW SA","Mecz ogl¹da³o 7718 osób","7718"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/korona-sa-kielce,sandecja-nowy-sacz,1650235.html","KORONA SA KIELCE","SANDECJA NOWY S¥CZ","Mecz ogl¹da³o 7750 osób","7750"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,legia-warszawa-s-a,1650238.html","ŒL¥SK WROC£AW","LEGIA WARSZAWA S.A.","Mecz ogl¹da³o 24086 osób","24086"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/cracovia-ssa-krakow,jagiellonia-bialystok-ssa,1650233.html","CRACOVIA SSA KRAKÓW","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 7262 osób","7262"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,gornik-zabrze-ssa,1650232.html","BRUK-BET TERMALICA NIECIECZA","GÓRNIK ZABRZE SSA","Mecz ogl¹da³o 3519 osób","3519"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/pogon-szczecin,kks-lech-poznan,1650237.html","POGOÑ SZCZECIN","KKS LECH POZNAÑ","Mecz ogl¹da³o 10695 osób","10695"
8,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,lechia-gdansk,1650236.html","GKS PIAST GLIWICE S.A.","LECHIA GDAÑSK","Mecz ogl¹da³o 5140 osób","5140"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/arka-gdynia-ssa,zaglebie-lubin,1650239.html","ARKA GDYNIA SSA","ZAG£ÊBIE LUBIN","Mecz ogl¹da³o 7357 osób","7357"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/kks-lech-poznan,korona-sa-kielce,1650241.html","KKS LECH POZNAÑ","KORONA SA KIELCE","Mecz ogl¹da³o 20581 osób","20581"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-plock-s-a,pogon-szczecin,1650246.html","WIS£A P£OCK S.A.","POGOÑ SZCZECIN","Mecz ogl¹da³o 3111 osób","3111"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/gornik-zabrze-ssa,slask-wroclaw,1650240.html","GÓRNIK ZABRZE SSA","ŒL¥SK WROC£AW","Mecz ogl¹da³o 22708 osób","22708"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/wisla-krakow-sa,gks-piast-gliwice-s-a,1650245.html","WIS£A KRAKÓW SA","GKS PIAST GLIWICE S.A.","Mecz ogl¹da³o 10822 osób","10822"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/sandecja-nowy-sacz,bruk-bet-termalica-nieciecza,1650244.html","SANDECJA NOWY S¥CZ","BRUK-BET TERMALICA NIECIECZA","Mecz ogl¹da³o 2644 osób","2644"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/legia-warszawa-s-a,cracovia-ssa-krakow,1650243.html","LEGIA WARSZAWA S.A.","CRACOVIA SSA KRAKÓW","Mecz ogl¹da³o 16650 osób","16650"
9,"https://www.laczynaspilka.pl/rozgrywki/mecz/lechia-gdansk,jagiellonia-bialystok-ssa,1650242.html","LECHIA GDAÑSK","JAGIELLONIA BIA£YSTOK SSA","Mecz ogl¹da³o 15135 osób","15135"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/gks-piast-gliwice-s-a,arka-gdynia-ssa,1650252.html","GKS PIAST GLIWICE S.A.","ARKA GDYNIA SSA","Mecz ogl¹da³o 3850 osób","3850"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/slask-wroclaw,kks-lech-poznan,1650254.html","ŒL¥SK WROC£AW","KKS LECH POZNAÑ","Mecz ogl¹da³o 22075 osób","22075"
10,"https://www.laczynaspilka.pl/rozgrywki/mecz/bruk-bet-termalica-nieciecza,lechia-gdansk,1650247.html","BRUK-BET TERMALICA NIECIECZA","LECHIA GDAÑSK","Mecz ogl¹da³o 2148 osób","2148"
